variable,keep,meaning,units,extra notes,source of calculation
prepollen_costs_from_seed_tissues,1,"per mature seed, the carbon investment into seed tissues that occurs up to the point of pollination",mg,,ReproductionTissues.R
prepollen_count,1,"count of ovules that are aborted before progressing to the ""zygote"" stage",count,,ReproductionTissues.R
prepollen_count_aborted_preflowering,1,count of ovules aborted before becoming part of a mature flower,count,,ReproductionTissues.R
prepollen_count_reach_flowering,1,count of ovules initiated that survive to the mature flower stage,count,,ReproductionTissues.R
prepollen_count_reach_flowering,1,count of ovules that survive to become part of a mature flower,count,,ReproductionTissues.R
prepollen_discarded_costs,1,"per mature seed, all carbon investment into tissues up to the point of pollination that are aborted",mg,"divide_zero(prepollen_discarded_inv,seed_count)",Summaries.R
prepollen_discarded_inv,1,carbon investment in tissues that are discarded before becoming part of mature flowers,mg,prepollen_all_inv - prepollen_success_inv,ReproductionTissues.R
prepollen_inv_aborted_preflowering,1,carbon investment into parts that abort before becoming part of a mature flower,mg,,ReproductionTissues.R
prepollen_inv_from_aborted_dispersal,1,carbon investment in pollinator attraction issues from ovules that progress to zygote stage and are later aborted,mg,prepollen_costs_from_pack_disp_tissues*postpollen_aborted_count,ReproductionTissues.R
prepollen_inv_from_pack_disp_tissues,1,carbon investment into packaging and dispersal tissues that occurs up to the point of pollination,mg,,ReproductionTissues.R
prepollen_partial_costs,1,"per mature seed, carbon investment into tissues that reach their final development up to the point of polllination",mg,,ReproductionTissues.R
prepollen_success_inv,1,carbon investment in pollinator attraction tissues that develop into mature seeds,mg,,ReproductionTissues.R
prepollen_temp_inv,1,"carbon investment in all tissues designated as ""prepollination""; a placeholder variable until pre-pollination investment in tissues designated as post-pollination is added on",mg,,ReproductionTissues.R
prop_accessory_vs_embryo_endo,1,proportion reproductive investment to accessory tissues (considering embryo + endosperm as the mass of the reproductive unit),proportion,1 - prop_embryo_endo_vs_all_repro,Summaries.R
prop_accessory_vs_propagule,1,proportion reproductive investment to accessory tissues (considering  propagule as the mass of the reproductive unit),proportion,1 - prop_propagule_vs_all_repro,Summaries.R
prop_discarded_vs_all_repro,1,proportion reproductive investment to tissues that are discarded,proportion,1 - prop_success,Summaries.R
prop_embryo_endo_vs_all_repro,1,proportion of all reproductive investment that is invested in the mass embryo and endosperm itself,proportion,"divide_zero(embryo_endo_costs,repro_costs)",Summaries.R
prop_embryo_endo_vs_success,1,proportion of  success (required for seed formation) investment that is invested in the mass embryo and endosperm itself,proportion,"divide_zero(embryo_endo_costs,success_costs)",Summaries.R
prop_endo,1,proportion of total dry seed weight that is the embryo + endosperm (from Westoby 1990),,,seedsize.csv
prop_leaf_expand,1,proportion of all carbon investment that goes to reproduction and increasing leaf mass,proportion,"divide_zero(surplus_inv, gross_inv)",Summaries.R
prop_leaf_loss,1,proportion of leaves along length of leader that are lost during the study year,proportion,leaf_loss_count/shoot_leaf_count_start,Summaries.R
prop_leaf_replacement,1,proportion of all carbon investment that goes to reproduction and all leaf investment (replacement + growth),proportion,"divide_zero(all_leaf_and_repro_inv, gross_inv)",Summaries.R
prop_pack_disp_vs_all_repro,1,proportion of all reproductive investment to packaging and dispersal tissues that are required for the formation of successful propagules,proportion,"divide_zero(packaging_dispersal_costs,repro_costs)",Summaries.R
prop_pack_disp_vs_success,1,proportion of success (required for seed formation) investment to packaging and dispersal tissues that are required for the formation of successful propagules,proportion,"divide_zero(packaging_dispersal_costs,success_costs)",Summaries.R
prop_pollen_attract_vs_all_repro,1,proportion of all reproductive investment to pollinator attraction tissues that are required for the formation of successful propagules,proportion,"divide_zero(pollen_attract_costs,repro_costs)",Summaries.R
prop_pollen_attract_vs_success,1,proportion of success (required for seed formation) investment to pollinator attraction tissues that are required for the formation of successful propagules,proportion,"divide_zero(pollen_attract_costs,success_costs)",Summaries.R
prop_postpollen_all_vs_all_repro,1,"proportion of all reproductive investment that goes to packaging, dispersal and provisioning tissues (both those that abort and are successful)",proportion,"divide_zero(postpollen_all_inv, repro_inv)",Summaries.R
prop_postpollen_discarded,1,"proportion of all postpollenation costs that go to packaging, dispersal and provisioning of seeds/zygotes that abort",proportion,1 - prop_postpollen_success,Summaries.R
prop_postpollen_discarded_vs_all_repro,1,"proportion of all reproductive investment that goes to packaging, dispersal and provisioning of seeds/zygotes that abort",proportion,"divide_zero(postpollen_aborted_costs,repro_costs)",Summaries.R
prop_postpollen_success,1,"proportion of all postpollenation costs that go to packaging, dispersal and provisioning of seeds that successfully mature",proportion,"divide_zero(provisioning_costs,postpollen_all_costs)",Summaries.R
prop_prepollen_all_vs_all_repro,1,proportion of all reproductive investment that goes to pollinator attraction tissues (both those that abort and are successful),proportion,"divide_zero(prepollen_all_inv, repro_inv)",Summaries.R
prop_prepollen_discarded,1,proportion of all prepollenation costs that go to tissues of ovules that abort,proportion,1 - prop_prepollen_success,Summaries.R
prop_prepollen_discarded_vs_all_repro,1,proportion of all reproductive investment to pollinator attraction tissues that are discarded,proportion,"divide_zero(prepollen_discarded_costs,repro_costs)",Summaries.R
prop_prepollen_success,1,proportion of investment in pollinator attraction tissues that is associated with ovules that develop into mature seeds,proportion,"divide_zero(pollen_attract_costs,prepollen_all_costs)",Summaries.R
prop_propagule_vs_all_repro,1,proportion of all reproductive investment directly to successful propagules,proportion,"divide_zero(propagule_inv,repro_inv)",Summaries.R
prop_provisioning_vs_success,1,proportion of success (required for seed formation) investment to successful seed provisioning + pollen attraction,proportion,1 - prop_pollen_attract_vs_success,Summaries.R
prop_repro,1,proportion of all carbon investment that goes to reproduction,proportion,"divide_zero(repro_inv, gross_inv)",Summaries.R
prop_success,1,proportion of reproductive investment to tissues that are required for the successful maturation of successful seeds,proportion,"divide_zero(success_inv, repro_inv)",Summaries.R
prop_surplus,1,proportion of carbon investment to reproduction and all leaf investment (replacement + growth) that goes to reproduction and increasing leaf mass,proportion,"divide_zero(surplus_inv, all_leaf_and_repro_inv)",Summaries.R
propagule_costs,1,carbon investment to create a single mature propagule,mg,propagule_costs_temp - prepollen_costs_from_seed_tissues,ReproductionTissues.R
propagule_costs_temp,1,temporary variable calculated in ReproductionTissues.R; has not yet been corrected for pre-pollination investment in propagule tissues,mg,,ReproductionTissues.R
propagule_inv,1,carbon investment into propagules,mg,seed_count*propagule_costs,ReproductionTissues.R
provisioning_costs,1,"per mature seed, all costs associated with provisioning the seed",mg,packaging_dispersal_costs + embryo_endo_costs,Summaries.R
RA,1,RA calculated as reproductive allocation after replacement (RAAR),proportion,repro_inv/total_inv,Summaries.R
RA_max_1,1,RAAR capped at RAAR=1,proportion,"divide_zero(repro_inv, surplus_inv)",Summaries.R
replace_leaf_prop_no_accessory,1,,proportion,"divide_zero((embryo_endo_inv+growth_leaf_pos+leaf_replacement),(growth_leaf_pos + leaf_replacement + growth_stem + embryo_endo_inv))",Summaries.R
repro_and_leaf_growth_prop_surplus,1,,proportion,"divide_zero((growth_leaf_pos+repro_inv),all_leaf_and_repro_inv)",Summaries.R
repro_costs,1,"per mature seed, all costs associated with reproduction, both for aborted and successful tissues",mg,"divide_zero(repro_inv,seed_count)",Summaries.R
repro_inv,1,carbon investment in all reproductive materials,mg,,ReproductionTissues.R
repro_prop_all_leaf,1,,proportion,"divide_zero(repro_inv,all_leaf_and_repro_inv)",Summaries.R
reproducing,1,plants where reproductive investment is greater than 0,categorical,,Summaries.R
scaled_ovule_count,1,ovule count scaled to the individual plant's leaf area,count,"divide_zero(ovule_count,leaf_area_0)",Summaries.R
scaled_pollen_attract_costs,1,pollen attraction costs scaled to the individual plant's leaf area,mg,"divide_zero(pollen_attract_costs,leaf_area_0)",Summaries.R
scaled_provisioning_costs,1,provisioning costs scaled to the individual plant's leaf area,mg,"divide_zero(provisioning_costs,leaf_area_0)",Summaries.R
scaled_reach_flowering_count,1,count of ovules that reach the mature flower stage scaled to the individual plant's leaf area,count,"divide_zero(prepollen_count_reach_flowering,leaf_area_0)",Summaries.R
scaled_repro_inv,1,total reproductive investment scaled to the individual plant's leaf area,mg,"divide_zero(repro_inv,leaf_area_0)",Summaries.R
scaled_seed_count,1,seed count scaled to the individual plant's leaf area,count,"divide_zero(seed_count,leaf_area_0)",Summaries.R
seed_coat_costs,1,"per mature propagule, carbon investment in the seed coat - vs in the endosperm and embryo",mg,propagule_costs - embryo_endo_costs,Summaries.R
seed_count,1,count of seeds produced,count,,ReproductionTissues.R
seed_prop_all,1,,proportion,"divide_zero(embryo_endo_inv,(growth_leaf_pos + leaf_replacement + growth_stem + embryo_endo_inv))",Summaries.R
seed_prop_all_acc,1,,proportion,"divide_zero(embryo_endo_inv,(growth_leaf_pos + leaf_replacement + growth_stem + repro_inv))",Summaries.R
seed_prop_surplus,1,,proportion,"divide_zero(embryo_endo_inv,(growth_leaf_pos + repro_inv))",Summaries.R
seed_prop_veg,1,,proportion,"divide_zero(embryo_endo_inv, (growth_leaf_pos + leaf_replacement + growth_stem + repro_inv))",Summaries.R
seed_size,1,"same as propagule costs, but renamed for ease in scripts; overwrites data input from the file seedsize.csv",mg,,Summaries.R
seed_size_source,1,data source for total seed weight; either measured for this study (Wenk) or from Henery&Westoby 2001,,,seedsize.csv
seedset,1,proportion of ovules initiated that develop into mature seeds,proportion,,ReproductionTissues.R
shoot_leaf_count,1,"total leaf count along the leader at the end of the study, including both remaining old leaves and newly formed leaves",count,lvs_end + shoot_leaf_count_new,Summaries.R
shoot_leaf_count_new,1,count of newly formed leaves along the leader at the end of the study,count,,leaderGrowthLL.csv
shoot_leaf_count_new_and_shed_count,1,count of leaves along the leader that formed and were then shed during the study year,count,,leaderGrowthLL.csv
shoot_leaf_count_start,1,count of leaves along the leader at the start of the study,count,,leaderGrowthLL.csv
shoot_length_start,1,leader length at the start of the study,mm,,leaderGrowthLL.csv
stem_area,1,cross sectional area of the stem,mm2,,harvest.csv; Growth.R
stem_weight,1,stem mass at end of study,mg,,Growth.R
stem_weight_0,1,stem mass at start of study,mg,stem_weight - growth_stem,Summaries.R
stop_at_flower_count,1,"count of ovules that are part of mature flowers, but do not progress to being zygotes",count,,ReproductionTissues.R
success_costs,1,carbon investment into all tissues (accessory + seed) required for the successful maturation of a single seed,mg,,ReproductionTissues.R
success_inv,1,carbon investment into all tissues (accessory + seed) associated with ovules that develop into mature seeds,mg,pack_disp_success_inv + propagule_inv + prepollen_success_inv,ReproductionTissues.R
surplus_inv,1,carbon investment into reproduction and increasing leaf area,mg,repro_inv + growth_leaf_pos,Summaries.R
total_inv,1,total cabon investment across study year,mg/yr,repro_inv + growth_inv,Summaries.R
total_weight,1,plant mass at end of study,mg,,Growth.R
total_weight_0,1,plant mass at start of study,mg,total_weight - growth_inv,Summaries.R
wood_density,1,wood density,g/cm3,,woodDensity.csv
zygote_set,1,proportion of ovules that add some post-pollination weight (designated zygotes) that become mature seeds,proportion,seed_count/postpollen_count,ReproductionTissues.R
