sample_rep1,sample_rep2,approx_dry_weight_mg_rep1,approx_dry_weight_mg_rep2,species,site,age,individual_rep1,individual_rep2,tissue_complete,tissue_simple,tissue,live_dead,rep2_replicate,no_sample,CN_analysis_date,Pmicro_analysis_date,Al,B,Ca,Cu,Fe,K,Mg ,Mn,Na,P,S,Zn,C,N
MQ_505_shed_sapwood,,SKIPPED,,PEPU,Waratah2011,2.4,PEPU_155,,shed_sapwood,shed_sapwood,sapwood,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_517_shed_bark,,SKIPPED,,PEPU,Waratah2003,9,PEPU_807,,shed_bark,shed_bark,bark,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_518_shed_sapwood,,SKIPPED,,PEPU,Waratah2003,9,PEPU_807,,shed_sapwood,shed_sapwood,sapwood,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_526_shed_bark,,SKIPPED,,PHPH,Waratah2011,2.4,PHPH_15X,,shed_bark,shed_bark,bark,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_527_shed_sapwood,,SKIPPED,,PHPH,Waratah2011,2.4,PHPH_15X,,shed_sapwood,shed_sapwood,sapwood,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_565_shed_bark,,SKIPPED,,PUTU,Wilunga2012,1.4,PUTU_30X,,shed_bark,shed_bark,bark,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_566_shed_sapwood,,SKIPPED,,PUTU,Wilunga2012,1.4,PUTU_30X,,shed_sapwood,shed_sapwood,sapwood,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_603_fruit_immature,,SKIPPED,,COER,,9,COER,,fruit_immature,reproductive,fruit_immature,live,,no_sample,,,,,,,,,,,,,,,,
MQ_660_seed_pod,,SKIPPED,,PILI,,9,PILI,,seed_pod,reproductive,seed_pod,live,,no_sample,,,,,,,,,,,,,,,,
MQ_663_fruit_seed_immature,,SKIPPED,,PUTU,,9,PUTU,,fruit_seed_immature,reproductive,fruit_seed_immature,live,,no_sample,,,,,,,,,,,,,,,,
