Species,Part,Description,Method,Ovules per unit,Multiplier factor
Grevillea speciosa,"inflorescence stalk, in flower","inflorescence stalk for buds, flowers or finished flowers",count,variable,1
Grevillea speciosa,"inflorescence bud, small",inflorescence bud; weight includes stalk and miniature buds; stage before individual buds are discernable,count,variable,1
Grevillea speciosa,"inflorescence stalk, in fruit",inflorescence stalk in fruit,count,variable,2
Grevillea speciosa,"bud, tiny",buds that are just discernable; includes all flower parts; counted per flower,count,2,2
Grevillea speciosa,"bud, small",small buds; includes all flower parts; counted per flower,count,2,2
Grevillea speciosa,"bud, mid-sized",mid-sized buds; includes all flower parts; counted per flower,count,2,2
Grevillea speciosa,"bud, big",large buds; includes all flower parts; counted per flower,count,2,2
Grevillea speciosa,"bud, opening",almost open flower; all floral parts; counted per flower,count,2,2
Grevillea speciosa,"petals, in flower",petals and stamens,count,2,2
Grevillea speciosa,"carpel, in flower",carpel and pedicel,count,2,2
Grevillea speciosa,"carpel, finished flower","carpel and pedicel; collected after petals shed, but before it becomes swollen",count,1,1
Grevillea speciosa,"fruit, just starting","2-3 mm fruit, measured as swollen section; includes pedicel",count,2,2
Grevillea speciosa,"fruit, young","4-5 mm fruit, measured as swollen section; includes pedicel",count,2,2
Grevillea speciosa,"fruit, large immature, stage 01","fruit more than 6 mm in length, the point at which the seeds begin to expand more; a fruit can grow and stay at this ""stage"" for several censuses",length,2,2
Grevillea speciosa,"fruit, large immature, stage 02","fruit more than 6 mm in length, the point at which the seeds begin to expand more; a fruit can grow and stay at this ""stage"" for several censuses",length,2,2
Grevillea speciosa,"fruit, large immature, stage 03","fruit more than 6 mm in length, the point at which the seeds begin to expand more; a fruit can grow and stay at this ""stage"" for several censuses",length,2,2
Grevillea speciosa,"fruit, large immature, stage 04","fruit more than 6 mm in length, the point at which the seeds begin to expand more; a fruit can grow and stay at this ""stage"" for several censuses",length,2,2
Grevillea speciosa,"fruit, large immature, stage 05","fruit more than 6 mm in length, the point at which the seeds begin to expand more; a fruit can grow and stay at this ""stage"" for several censuses",length,2,2
Grevillea speciosa,"fruit, large immature, stage 06","fruit more than 6 mm in length, the point at which the seeds begin to expand more; a fruit can grow and stay at this ""stage"" for several censuses",length,2,2
Grevillea speciosa,pedicel,"pedicel from a mature fruit; considered a separate part once at ""fruit large immature"" as this is when they start expanding",count,2,2
Grevillea speciosa,seed pod,seed pod once seed is mature; varies considerably by length; does not include pedicel,length,2,2
Grevillea speciosa,"seed, aborted",seeds that are quite flat and much lighter than others of similar length,count,1,1
Grevillea speciosa,seed,mature seeds weighed from pod; all mature seeds similar weight regardless of pod length,count,1,1
Hakea teretifolia,"inflorescence bud, tiny",tiny inflorescence bud with surrounding bracts; this stage lasts for many months,count,5.87,2
Hakea teretifolia,"inflorescence bud, small",small inflorescence bud with surrounding bracts; stage at which inflorescence buds are just beginning to expand,count,5.87,2
Hakea teretifolia,"inflorescence bud, mid-sized",mid-sized inflorescence bud with surrounding bracts,count,5.87,2
Hakea teretifolia,"inflorescence bud, big (bracts)",set of bracts from a single inflorescence; this is the stage at which the bracts are shed,count,5.87,2
Hakea teretifolia,"inflorescence bud, big (flowers)","all floral material within one inflorescence bud; still counted as ""1 per inflorescence"" NOT ""1 per flower""",count,5.87,2
Hakea teretifolia,"petals, in flower",flower petals and stamens; units are per flower,count,2,2
Hakea teretifolia,"carpel, in flower",carpel from individual in full flower; units are per flower,count,2,2
Hakea teretifolia,"carpel, finished flower",red carpel,count,2,2
Hakea teretifolia,"fruit, just starting","very small fruit, still very skinny",count,2,2
Hakea teretifolia,"fruit, young","slightly larger, but still skinny fruit",count,2,2
Hakea teretifolia,"fruit, large immature, stage 01","larger fruit, but not yet hardeneed",count,2,2
Hakea teretifolia,"fruit, aborting",shriveled fruit that is shedding early,count,2,2
Hakea teretifolia,seed pod,hardened seed pods with mature or immature seeds removed,count,2,2
Hakea teretifolia,"seed, immature","immature seed; already large, but not yet full weight or hardened",count,1,1
Hakea teretifolia,"seed, aborted","aborted seeds removed from pods; considered ""aborted"" by weight",count,1,1
Hakea teretifolia,seed,"mature seeds removed from pods; considered ""viable"" based on weight",count,1,1
Hemigenia purpurea,"bud, small",small buds; includes all flower parts,count,4,4
Hemigenia purpurea,"bud, big",large buds; includes all flower parts,count,4,4
Hemigenia purpurea,"petals, in flower",flower petals and stamens,count,4,4
Hemigenia purpurea,"calyx, flower",calyx and carpel in full flower,count,4,4
Hemigenia purpurea,"calyx, aborting flower",calyx and carpel in full flower; know this part doesn't progress,count,4,4
Hemigenia purpurea,finished flower,"calyx and carpel as petals are shedding; termed ""just shed"" in census sheets",count,4,4
Hemigenia purpurea,"finished flower, aborting","calyx and carpel as petals are shedding; termed ""just shed"" in census sheets; know this part doesn't progress",count,4,4
Hemigenia purpurea,"fruit, young",mid-sized fruit; calyx weighed separately,count,1,1
Hemigenia purpurea,"fruit, young, aborting",mid-sized fruit; calyx weighed separately; individuals tagged as aborting simply because I know they don't progress,count,1,1
Hemigenia purpurea,"fruit, large immature, stage 01","large, but not yet dry fruit; calyx weighed separately",count,1,1
Hemigenia purpurea,"fruit, large immature, aborting","large, but not yet dry fruit; calyx weighed separately; tagged as aborting simply because I know they don't progress to the next stage",count,1,1
Hemigenia purpurea,"fruit, aborting","aborted fruit, including calyx; based on weight, this has aborted quite early",count,1,1
Hemigenia purpurea,"fruit, mature","mature, dry fruit; set of 4 from a single flower counted as ""1""",count,1,1
Hemigenia purpurea,"calyx, fruit","calyx from a young fruit, large immature fruit or mature fruit",count,4,4
Leucopogon esquamatus,"bud, aborted",buds that have aborted just after they begin to form; includes all flower parts,count,1,1
Leucopogon esquamatus,"bud, tiny",buds that are just starting to form; includes all flower parts,count\_per\_length; count,1,1
Leucopogon esquamatus,"bud, mid-sized",mid-sized buds; includes all flower parts,count\_per\_length; count,1,1
Leucopogon esquamatus,"bud, big",large buds; includes all flower parts,count\_per\_length; count,1,1
Leucopogon esquamatus,"petals, in flower",flower petals,count\_per\_length; count,1,1
Leucopogon esquamatus,"calyx, flower","calyx, pedicel, carpel, stamens of flowers in full bloom",count\_per\_length; count,1,1
Leucopogon esquamatus,finished flower,"calyx, pedicel, carpel, stamens as petals are shedding",count\_per\_length; count,1,1
Leucopogon esquamatus,"fruit, just starting",smallest fruit category; still includes calyx,count\_per\_length; count,1,1
Leucopogon esquamatus,"fruit, young",mid-sized fruit; calyx weighed separately,count\_per\_length; count,1,1
Leucopogon esquamatus,"fruit, large immature, stage 01","large, but still green fruit; calyx weighed separately",count\_per\_length; count,1,1
Leucopogon esquamatus,"fruit, aborting","brown, round, dry fruit, but much small than ""mature fruit""; calyx separate",count\_per\_length; count,1,1
Leucopogon esquamatus,"fruit, mature","brown, round, plump, dry fruit; calyx separate; seed fused to fruit, so this is the dispersal unit",count\_per\_length; count,1,1
Leucopogon esquamatus,"calyx, fruit",calyx and pedicel from a large immature fruit or mature fruit,count\_per\_length; count,1,1
Persoonia lanceolata,"bud, small",small buds; includes all flower parts,count,1,1
Persoonia lanceolata,"bud, mid-sized",mid-sized buds; includes all flower parts,count,1,1
Persoonia lanceolata,"bud, big",large buds; includes all flower parts,count,1,1
Persoonia lanceolata,"petals, in flower",flower petals,count,1,1
Persoonia lanceolata,"carpel, in flower",carpel from individual in full flower,count,1,1
Persoonia lanceolata,"carpel, finished flower",carpel after petals shed,count,1,1
Persoonia lanceolata,"fruit, just starting","just past the ""finished flower stigma"" stage; still very small, with the carpel more obvious than the fruit",count,1,1
Persoonia lanceolata,"fruit, young",fruit that is 3-6 mm in length,count,1,1
Persoonia lanceolata,"fruit, large immature, stage 01","fruit that is more than 7 mm in diameter , but not yet mature; a fruit can grow and stay at this ""stage"" for several censuses",length,1,1
Persoonia lanceolata,"fruit, large immature, stage 02","fruit that is more than 7 mm in diameter , but not yet mature; a fruit can grow and stay at this ""stage"" for several censuses",length,1,1
Persoonia lanceolata,"fruit, large immature, stage 03","fruit that is more than 7 mm in diameter , but not yet mature; a fruit can grow and stay at this ""stage"" for several censuses",length,1,1
Persoonia lanceolata,"fruit, large immature, stage 04","fruit that is more than 7 mm in diameter , but not yet mature; a fruit can grow and stay at this ""stage"" for several censuses",length,1,1
Persoonia lanceolata,"fruit, large immature, stage 05","fruit that is more than 7 mm in diameter , but not yet mature; a fruit can grow and stay at this ""stage"" for several censuses",length,1,1
Persoonia lanceolata,"fruit, large immature, stage 06","fruit that is more than 7 mm in diameter , but not yet mature; a fruit can grow and stay at this ""stage"" for several censuses",length,1,1
Persoonia lanceolata,pedicel,"pedicel in flower, finished flower or fruit",count,1,1
Persoonia lanceolata,seed pod,combination of various outer fruit layers (fleshy and woody) removed from mature seed,length,1,1
Persoonia lanceolata,seed,"seed with fleshy and woody layers removed; since seed size variable with fruit size, use regression equation to calculate seed weight",length,1,1
Petrophile pulchella,"bud, aborted",buds that have aborted just after they begin to form; includes all flower parts,count,1,1
Petrophile pulchella,"bud, tiny",buds that are just starting to form; includes all flower parts,count,1,1
Petrophile pulchella,"bud, big",large buds; includes all flower parts,count,1,1
Petrophile pulchella,"petals, in flower",flower petals,count,1,1
Petrophile pulchella,"carpel, in flower","carpel from individual in full flower; includes ""fluff""",count,1,1
Petrophile pulchella,"calyx, flower",NOT SURE IF THIS CATEGORY EXISTS AT THE MOMENT; need to weight until plants in flower,count,1,1
Petrophile pulchella,"fruit, just starting",very tiny fruit,count,1,1
Petrophile pulchella,"fruit, young",mid-sized fruit,count,1,1
Petrophile pulchella,"fruit, large immature, stage 01","large, but not yet mature fruit",count,1,1
Petrophile pulchella,"fruit, aborting",very small fruit; don't contain a seed and the seed pod is quite small; determination based on weight,count,1,1
Petrophile pulchella,"fruit, empty","full sized fruit, but much lighter weight, because no seed (or a very small seed) inside; determined based on weight",count,1,1
Petrophile pulchella,"fruit, mature","dry, full fruit; considered ""viable"" (vesus aborted or empty) based on weight; for tagged plants, actual fruit removed from cone; seed fused to fruit, so this is the dispersal unit",count,1,1
Petrophile pulchella,"cone, just starting, stage 01","very young cone; just a mound of ""cone"" starting to form; can stay at this stage through several size transitions",length,variable,1
Petrophile pulchella,"cone, just starting, stage 02","very young cone; just a mound of ""cone"" starting to form; can stay at this stage through several size transitions",length,variable,1
Petrophile pulchella,"cone, just starting, stage 03","very young cone; just a mound of ""cone"" starting to form; can stay at this stage through several size transitions",length,variable,1
Petrophile pulchella,"cone, just starting, stage 04","very young cone; just a mound of ""cone"" starting to form; can stay at this stage through several size transitions",length,variable,1
Petrophile pulchella,"cone, just starting, stage 05","very young cone; just a mound of ""cone"" starting to form; can stay at this stage through several size transitions",length,variable,1
Petrophile pulchella,"cone, young, stage 01",young cone that is in the process of lengthening; can stay at this stage through several size transitions,length,variable,1
Petrophile pulchella,"cone, young, stage 02",young cone that is in the process of lengthening; can stay at this stage through several size transitions,length,variable,1
Petrophile pulchella,"cone, young, stage 03",young cone that is in the process of lengthening; can stay at this stage through several size transitions,length,variable,1
Petrophile pulchella,"cone, young, stage 04",young cone that is in the process of lengthening; can stay at this stage through several size transitions,length,variable,1
Petrophile pulchella,"cone, green, stage 01",green cone with large buds or in flower; can stay at this stage through several size transitions,volume,variable,1
Petrophile pulchella,"cone, green, stage 02",green cone with large buds or in flower; can stay at this stage through several size transitions,volume,variable,1
Petrophile pulchella,"cone, green, stage 03",green cone with large buds or in flower; can stay at this stage through several size transitions,volume,variable,1
Petrophile pulchella,"cone, green, stage 04",green cone with large buds or in flower; can stay at this stage through several size transitions,volume,variable,1
Petrophile pulchella,"cone, brown without mature fruit","mature, dry cone where no follicles matured; quite skinny compared to ""cone\_brown""",volume,variable,1
Petrophile pulchella,"cone, brown","mature, dry cone containing at least come ""mature"" fruit, although all the fruit might be empty or aborted",volume,variable,1
Petrophile pulchella,"cone, aborted",cone that has aborted either before flowering or at the start of flowering,length,variable,1
Phyllota phylicoides,"bud, small","small buds; all flower parts including bract, pedicel, and calyx",count,2,2
Phyllota phylicoides,"bud, mid-sized","mid-sized buds; all flower parts including bract, pedicel, and calyx",count,2,2
Phyllota phylicoides,"petals, in flower",flower petals and stamens,count,2,2
Phyllota phylicoides,"petals small, in flower",smaller flower petals and stamens,count,2,2
Phyllota phylicoides,"carpel, in flower",carpel from individual in full flower,count,2,2
Phyllota phylicoides,"calyx, flower",calyx from individual in full flower,count,2,2
Phyllota phylicoides,"flower, aborted with petals","aborted flower with petals, but much lighter than other flowers; includes all flower parts",count,2,2
Phyllota phylicoides,"flower, aborted without petals","aborted flower without petals; these are lighter than small buds, so not part of main progression;  includes all flower parts",count,2,2
Phyllota phylicoides,"carpel, finished flower",carpel dissected from flowers with browning petals,count,2,2
Phyllota phylicoides,"bract, flower or finished flower","pair of two bracts for flower, finished flower, or fruit",count,2,2
Phyllota phylicoides,"fruit, just starting",very tiny fruit,count,2,2
Phyllota phylicoides,"fruit, young",small green fruit,count,2,2
Phyllota phylicoides,"fruit, large immature, stage 01",green fruit,count,2,2
Phyllota phylicoides,"fruit, aborting",aborted or wormy fruit,count,2,2
Phyllota phylicoides,seed pod,seed pod from around seed or aborted seed,count,2,2
Phyllota phylicoides,"seed, aborted","flat, lightweight seed; seeds determined ""aborted"" either visually or by weight",count,1,1
Phyllota phylicoides,seed,"round, healthy seed; seeds determined ""viable"" by weight",count,1,1
Pimelea linifolia,"inflorescence stalk, in flower","inflorescence stalk for buds, flowers or finished flowers",count,variable,1
Pimelea linifolia,"inflorescence bud, mid-sized",stalked  inflorescence bud; weight includes stalk and developing bracts containing miniature buds; stage before individual buds are discernable,count,variable,1
Pimelea linifolia,"bud, big",large buds; includes all flower parts,count,1,1
Pimelea linifolia,"petals, in flower",flower petals and stamens,count,1,1
Pimelea linifolia,"carpel, in flower","carpel, weight estimated as 0.1*flower\_calyx",count,1,1
Pimelea linifolia,"calyx, flower","flower calyx; Collected parts include both calyx and carpel, which can't be separate because carpel too small, so subtract off weight of ""flower\_stigma"" from collected weights",count,1,1
Pimelea linifolia,"bract, flower or finished flower",set of 4 bracts that surrounds an inflorescence,count,variable,1
Pimelea linifolia,"fruit, young",not yet inflated white fruit; calyx weighed separately,count,1,1
Pimelea linifolia,"fruit, large immature, stage 01","nearly full size, still green fruit; calyx weighed separately",count,1,1
Pimelea linifolia,"fruit, aborting",empty seed pod or seed pod with aborting fruit,count,1,1
Pimelea linifolia,seed pod,black seed pod from around seed or aborted seed,count,1,1
Pimelea linifolia,seed,"round, healthy, white-colored seed",count,1,1
Pultenaea tuberculata,"bud, big",large buds; includes all flower parts,count,2,2
Pultenaea tuberculata,"petals, in flower",flower petals  + stamens,count,2,2
Pultenaea tuberculata,"carpel, in flower",carpel from individual in full flower,count,2,2
Pultenaea tuberculata,"calyx, flower",calyx from individual in full flower,count,2,2
Pultenaea tuberculata,"flower, aborted with petals","aborted flower with petals, but much lighter than other flowers; includes all flower parts",count,2,2
Pultenaea tuberculata,"carpel, finished flower",carpel dissected from flowers with browning petals,count,2,2
Pultenaea tuberculata,"bract, flower or finished flower","set of brown bracts for flower, finished flower, or fruit",count,2,2
Pultenaea tuberculata,"fruit, large immature, stage 01",green fruit,count,2,2
Pultenaea tuberculata,"fruit, aborting","aborted, small, usually flattened fruit",count,2,2
Pultenaea tuberculata,seed pod,seed pod from around seed or aborted seed,count,2,2
Pultenaea tuberculata,"seed, aborted","flat, lightweight seed; seeds determined ""aborted"" either visually or by weight",count,1,1
Pultenaea tuberculata,seed,"round, healthy seed; seeds determined ""viable"" by weight",count,1,1
